account_id,account_type,campaign_name,incentive_budget,campaign_sales_value_ytd,roi_multiplier,conversion_rate_pct,campaign_adoption_pct,rebate_granted,qualified_leads,campaign_status
D109,Dealer,Loyalty Plus,47911,50464,1.52,28.4,26.5,319,88,Completed
IR1016,IR,Summer Service,26532,186778,7.02,16.4,31.7,367,97,Completed
IR1009,IR,Summer Service,45465,27936,2.64,25.5,28.7,116,95,Active
IR1002,IR,Summer Service,46533,194520,7.11,18.3,69.4,462,3,Active
D120,Dealer,Summer Service,24226,103969,3.62,9.4,53.1,289,87,Active
D110,Dealer,Brake Boost,10175,169774,7.1,23.6,24.1,467,74,Active
D114,Dealer,Loyalty Plus,46805,76578,4.22,25,89.9,238,36,Planned
IR1009,IR,Brake Boost,9840,125796,7.62,34.6,29.9,492,54,Planned
D116,Dealer,Loyalty Plus,24799,62223,8,30.6,10.7,195,73,Completed
IR1011,IR,Engine Care,24348,15751,7.85,24.7,27.4,289,87,Planned
D103,Dealer,IR Activation,37553,85024,6.43,11.9,80.2,112,81,Active
IR1014,IR,Engine Care,49417,198987,6.37,25.4,13.7,49,80,Planned
D102,Dealer,Engine Care,33889,18746,5.06,27,9,151,41,Planned
IR1001,IR,Brake Boost,18159,44644,6.51,31.3,36.6,256,34,Active
D116,Dealer,Loyalty Plus,24342,98792,6.63,19,7.5,386,28,Planned
IR1021,IR,PL24 Adoption,31044,156096,3.56,28.7,1.4,274,15,Completed
D123,Dealer,PL24 Adoption,49062,78724,5.09,29.7,94,55,86,Active
IR1005,IR,Summer Service,45602,157169,3.3,23.3,64.8,325,59,Planned
D119,Dealer,PL24 Adoption,31758,40585,1.98,33.4,30.4,252,14,Active
D115,Dealer,IR Activation,13890,111881,4.18,25.1,74.3,484,69,Completed
IR1012,IR,PL24 Adoption,15126,118759,5.58,30,61.6,480,35,Active
IR1019,IR,Engine Care,19238,126230,4.11,12.1,36.3,351,47,Planned
IR1016,IR,Engine Care,8968,114369,2.93,34,94.9,421,58,Active
IR1017,IR,Brake Boost,47054,177639,5.18,5.6,78.7,124,16,Planned
D113,Dealer,Summer Service,41320,64305,5.1,29.4,23.3,396,18,Planned
D100,Dealer,Engine Care,14482,44076,4.78,29,11,443,3,Active
D100,Dealer,Engine Care,20593,164364,3.27,10.2,5.2,379,53,Planned
D107,Dealer,PL24 Adoption,9165,134845,4.14,15.9,59.4,231,64,Active
IR1014,IR,Summer Service,48181,146695,3.11,24.3,3.1,245,51,Completed
IR1018,IR,Summer Service,37130,196751,7.37,7.2,8.1,311,18,Active
D108,Dealer,Engine Care,45915,175957,5.1,26.4,38.1,305,67,Completed
IR1004,IR,IR Activation,44677,122774,1.69,26.1,85.3,333,98,Planned
IR1021,IR,Brake Boost,33185,128372,7.22,17.4,82.7,204,53,Planned
D106,Dealer,Engine Care,32968,91926,5.66,16.2,15.3,472,60,Active
D105,Dealer,Summer Service,11109,123213,1.68,27.2,81.2,284,7,Planned
IR1010,IR,IR Activation,26603,185639,1.86,15.6,66.5,384,54,Planned
D103,Dealer,Engine Care,44348,91906,3.46,22.3,21.3,336,61,Active
IR1029,IR,Summer Service,27945,155821,3.57,27.9,57.4,413,54,Planned
IR1024,IR,IR Activation,45211,186941,5.5,5.8,92.9,424,88,Completed
D101,Dealer,Brake Boost,22909,194208,6.34,32.6,35.1,92,18,Planned
IR1017,IR,Loyalty Plus,9560,47191,6.19,34.2,9.2,271,27,Completed
IR1001,IR,Loyalty Plus,27340,51263,3.59,26.6,77.7,290,76,Active
D103,Dealer,Brake Boost,15316,171962,1.35,7.4,44.3,217,62,Planned
IR1003,IR,Loyalty Plus,22902,66510,6.28,8.4,43,145,86,Planned
IR1012,IR,Loyalty Plus,39533,184884,3.16,11.6,98.4,28,0,Active
D119,Dealer,Brake Boost,13993,76982,3.03,8.6,49.7,220,22,Active
D124,Dealer,IR Activation,20080,141140,4.91,25,35.4,203,94,Active
IR1002,IR,Summer Service,35130,30411,7.03,22.3,57.3,363,81,Completed
D118,Dealer,Summer Service,31544,15467,7.76,10.2,94.8,235,88,Completed
D105,Dealer,Loyalty Plus,11937,73783,4.05,17,7.9,445,39,Planned
D121,Dealer,Brake Boost,26827,54074,1.53,24,53.1,99,99,Completed
D122,Dealer,PL24 Adoption,47299,48716,2.65,9.4,19.7,308,19,Planned
D104,Dealer,Brake Boost,46153,139529,4.25,21.9,57.9,348,72,Planned
IR1015,IR,IR Activation,26181,174421,3.21,18.2,46.9,323,38,Completed
IR1012,IR,Summer Service,28064,142995,1.52,18.9,3.8,188,36,Active
