account_id,account_type,part_category,part_number,current_year_sales,last_year_sales,yoy_growth_pct,units_sold,gross_margin_pct,category_share_wallet_pct,cross_sell_opportunity_score
D100,Dealer,Suspension,P10055,2545,4091,-21,229,39,80,11
D101,Dealer,Electrical,P10003,2853,3392,-19,431,34,58,19
D101,Dealer,Suspension,P10011,4816,3154,10,483,17,54,18
D101,Dealer,Engine Parts,P10022,2510,1895,11,355,20,69,21
D102,Dealer,Electrical,P10046,821,2656,-8,166,12,99,12
D103,Dealer,Brakes,P10031,1322,2569,-30,128,12,85,24
D108,Dealer,Engine Parts,P10054,2363,3479,3,479,37,67,26
D109,Dealer,Suspension,P10038,1265,664,-33,85,24,88,23
D110,Dealer,Engine Parts,P10035,3446,3770,36,241,23,52,7
D113,Dealer,Suspension,P10019,2216,2868,-5,451,43,94,28
D114,Dealer,Engine Parts,P10051,3880,1042,42,427,14,81,29
D115,Dealer,Brakes,P10009,3979,1017,32,486,18,79,22
D115,Dealer,Lubricants,P10050,1397,2625,30,8,40,76,2
D115,Dealer,Body Parts,P10057,3237,1993,12,23,25,97,15
D116,Dealer,Suspension,P10010,1474,1018,-20,494,24,56,18
D117,Dealer,Body Parts,P10020,183,4312,-16,44,20,96,13
D117,Dealer,Body Parts,P10040,4523,4125,16,42,43,52,28
D118,Dealer,Lubricants,P10036,2416,3799,-31,352,19,66,25
D118,Dealer,Electrical,P10049,4070,1074,-37,499,45,88,25
D120,Dealer,Engine Parts,P10025,4489,1596,-16,111,35,67,23
D121,Dealer,Electrical,P10006,2379,3533,-8,428,10,80,0
D121,Dealer,Body Parts,P10056,4551,3170,18,478,25,62,22
D123,Dealer,Brakes,P10027,2576,195,28,65,22,52,1
D124,Dealer,Electrical,P10002,4509,1886,22,113,22,77,15
IR1001,IR,Electrical,P10000,2810,3896,13,32,18,76,12
IR1001,IR,Body Parts,P10032,4983,1928,26,195,33,78,9
IR1001,IR,Lubricants,P10045,4158,2441,44,484,30,98,17
IR1002,IR,Lubricants,P10041,2740,2131,-37,47,19,93,26
IR1004,IR,Brakes,P10005,511,2211,8,168,18,79,10
IR1004,IR,Body Parts,P10053,1284,3222,-16,472,43,82,23
IR1005,IR,Electrical,P10029,3708,2871,-17,495,8,66,30
IR1005,IR,Engine Parts,P10030,635,3362,22,38,41,90,21
IR1005,IR,Suspension,P10044,3445,2810,1,344,11,60,10
IR1006,IR,Body Parts,P10021,2068,3980,42,365,36,78,25
IR1007,IR,Engine Parts,P10047,4544,3864,12,28,17,83,11
IR1009,IR,Engine Parts,P10004,3327,302,-30,330,32,58,27
IR1010,IR,Suspension,P10028,1134,4101,-27,447,5,86,9
IR1011,IR,Engine Parts,P10013,2944,4444,14,339,28,54,16
IR1011,IR,Body Parts,P10042,269,2287,33,21,16,80,16
IR1012,IR,Suspension,P10023,3976,4429,4,218,40,71,11
IR1012,IR,Body Parts,P10026,4988,2398,-28,427,17,68,7
IR1012,IR,Electrical,P10033,2601,573,38,492,11,98,6
IR1012,IR,Suspension,P10059,922,3686,-28,270,34,50,23
IR1014,IR,Body Parts,P10016,4060,3888,15,423,42,67,10
IR1014,IR,Electrical,P10048,3721,502,-14,137,40,58,29
IR1015,IR,Brakes,P10034,2267,745,-20,123,16,85,2
IR1016,IR,Engine Parts,P10008,354,2105,-15,430,6,89,4
IR1016,IR,Suspension,P10014,203,3521,22,55,32,73,20
IR1016,IR,Electrical,P10043,2378,1566,34,224,45,81,2
IR1017,IR,Electrical,P10018,2855,315,23,436,25,61,15
IR1019,IR,Lubricants,P10012,2089,914,-2,436,43,57,25
IR1019,IR,Electrical,P10024,2319,2591,-8,119,12,96,6
IR1020,IR,Suspension,P10052,4268,2319,13,428,35,80,7
IR1020,IR,Electrical,P10058,3262,1326,23,494,7,58,16
IR1022,IR,Body Parts,P10007,526,2946,-12,333,9,99,30
IR1024,IR,Body Parts,P10001,260,3196,21,4,27,69,24
IR1025,IR,Lubricants,P10037,4931,1700,14,59,39,64,20
IR1027,IR,Body Parts,P10039,2464,3677,-25,240,24,94,12
IR1028,IR,Electrical,P10015,1353,3647,-18,376,38,91,8
IR1029,IR,Brakes,P10017,809,2364,17,125,34,86,19
