account_id,account_type,region,abc_segment,revenue_target,revenue_actual,target_achievement_pct,yoy_growth_pct,opportunity_score,dormancy_risk,active_clients_irs,last_visit_days,dealer_health_score,visit_cadence_per_qtr,open_actions,last_purchase_month,mom_sales_growth_pct
D100,Dealer,North,C,217621,88369,-59.4,-32,55,31,67,18,87,5,2,May 2025,-8.5
D101,Dealer,Central,C,204794,251208,22.7,-31,23,11,65,30,41,5,6,Jul 2025,3.2
D102,Dealer,North,A,237700,315706,32.8,18,48,57,160,36,84,4,10,Jun 2025,5.7
D103,Dealer,North,B,122842,111516,-9.2,-8,63,13,33,49,94,3,8,Jul 2025,-2.1
D104,Dealer,North,C,261583,52780,-79.8,23,88,15,246,49,58,5,11,Jul 2025,6.8
D105,Dealer,East,A,201349,130814,-35,-27,25,84,68,99,94,2,3,Feb 2025,-14.3
D106,Dealer,South,C,149647,175738,17.4,23,66,20,104,46,57,1,5,Jun 2025,4.1
D107,Dealer,Central,A,190021,158351,-16.7,-15,79,48,79,119,83,3,1,May 2025,-6.2
D108,Dealer,Central,C,110043,46829,-57.4,5,71,34,26,28,60,2,15,May 2025,2.8
D109,Dealer,Central,C,153712,270570,76,-17,53,17,73,96,56,5,13,Jun 2025,-3.5
D110,Dealer,North,A,285358,239400,-16.1,11,48,17,140,64,95,1,4,Jul 2025,4.9
D111,Dealer,Central,B,214481,113876,-46.9,19,96,8,108,49,73,3,0,Jul 2025,7.3
D112,Dealer,North,B,228332,90058,-60.6,33,54,98,174,44,67,2,14,Jan 2025,-18.2
D113,Dealer,East,C,50850,168091,230.6,29,42,64,243,14,72,5,6,May 2025,3.6
D114,Dealer,North,C,90065,226038,151,-15,89,99,246,68,60,4,0,Dec 2024,-21.4
D115,Dealer,Central,A,79325,220306,177.7,4,50,7,71,113,45,4,2,Jul 2025,5.1
D116,Dealer,South,B,249387,309291,24,-19,36,84,131,71,73,5,13,Feb 2025,-15.8
D117,Dealer,East,B,105521,312746,196.4,-10,59,51,181,84,73,4,3,May 2025,-4.7
D118,Dealer,South,C,114986,147806,28.5,-27,63,2,160,71,54,1,2,Jul 2025,-1.9
D119,Dealer,North,C,235556,60866,-74.2,-6,28,4,230,43,55,3,15,Jul 2025,-0.8
D120,Dealer,West,B,106160,312713,194.6,-19,93,73,131,32,52,1,3,Mar 2025,-12.6
D121,Dealer,North,C,222748,255994,14.9,10,74,52,129,111,81,1,1,May 2025,1.4
D122,Dealer,West,A,155544,207892,33.7,-22,51,24,58,69,67,2,8,Jun 2025,-5.3
D123,Dealer,Central,A,171275,160970,-6,-26,76,70,35,7,45,2,5,Mar 2025,-9.8
D124,Dealer,South,B,156539,284615,81.8,26,47,51,241,8,40,4,8,Jun 2025,8.2
IR1000,IR,Central,C,292881,268555,-8.3,1,74,89,197,101,85,4,4,Jan 2025,-13.5
IR1001,IR,North,C,99780,185560,86,-8,27,74,198,70,60,1,1,Feb 2025,-11.2
IR1002,IR,North,A,203138,279974,37.8,29,87,20,24,66,44,5,2,Jul 2025,9.4
IR1003,IR,Central,A,227002,153314,-32.5,16,35,72,73,75,79,1,13,Mar 2025,-7.6
IR1004,IR,East,A,222326,304088,36.8,5,53,26,181,92,56,4,4,Jun 2025,3.1
IR1005,IR,North,B,226079,187284,-17.2,23,60,96,249,10,79,5,3,Dec 2024,-19.7
IR1006,IR,East,A,69204,311875,350.7,-8,84,33,43,120,55,3,9,May 2025,-4.2
IR1007,IR,Central,A,91352,259734,184.3,34,58,78,216,84,82,5,9,Feb 2025,-8.9
IR1008,IR,Central,A,294254,84309,-71.3,-18,53,14,237,14,57,3,6,Jun 2025,-2.6
IR1009,IR,North,A,238117,209768,-11.9,-9,53,64,135,33,80,4,8,Apr 2025,-6.1
IR1010,IR,West,C,61557,31858,-48.2,7,36,81,77,21,85,4,0,Feb 2025,-16.3
